l_pre,l_mp,l_post,stage,dim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std
1,2,1,skipconcat,64,0.01,199,0.0469,0.0002,104650.0,0.0677,0.0097,1.0,0.0
1,2,1,skipsum,64,0.01,199,0.0412,0.0005,100554.0,0.0743,0.0061,1.0,0.0
1,2,1,stack,64,0.01,199,0.0477,0.0008,100554.0,0.048,0.008,1.0,0.0
1,2,2,skipconcat,64,0.01,199,0.0819,0.0008,108810.0,0.0597,0.0079,1.0,0.0
1,2,2,skipsum,64,0.01,199,0.0821,0.0031,104714.0,0.057,0.0099,1.0,0.0
1,2,2,stack,64,0.01,199,0.0805,0.001,104714.0,0.0593,0.0183,1.0,0.0
1,4,1,skipconcat,64,0.01,199,0.047,0.0006,133452.0,0.0547,0.016,1.0,0.0
1,4,1,skipsum,64,0.01,199,0.0407,0.0002,108876.0,0.05,0.0156,1.0,0.0
1,4,1,stack,64,0.01,199,0.0484,0.0005,108876.0,0.0747,0.0105,1.0,0.0
1,4,2,skipconcat,64,0.01,199,0.0851,0.0017,137612.0,0.0883,0.0195,1.0,0.0
1,4,2,skipsum,64,0.01,199,0.0869,0.0015,113036.0,0.065,0.011,1.0,0.0
1,4,2,stack,64,0.01,199,0.097,0.0051,113036.0,0.0673,0.0119,1.0,0.0
1,6,1,skipconcat,64,0.01,199,0.0462,0.0002,178638.0,0.0691,0.0207,1.0,0.0
1,6,1,skipsum,64,0.01,199,0.0404,0.0006,117198.0,0.082,0.0308,1.0,0.0
1,6,1,stack,64,0.01,199,0.051,0.0022,117198.0,0.0693,0.0218,1.0,0.0
1,6,2,skipconcat,64,0.01,199,0.0925,0.0033,182798.0,0.0723,0.0111,1.0,0.0
1,6,2,skipsum,64,0.01,199,0.0957,0.0056,121358.0,0.072,0.0222,1.0,0.0
1,6,2,stack,64,0.01,199,0.1262,0.0101,121358.0,0.075,0.0218,1.0,0.0
2,2,1,skipconcat,64,0.01,199,0.0486,0.0013,108811.0,0.0667,0.0078,1.0,0.0
2,2,1,skipsum,64,0.01,199,0.0416,0.0006,104715.0,0.0683,0.0066,1.0,0.0
2,2,1,stack,64,0.01,199,0.0479,0.0016,104715.0,0.0727,0.0062,1.0,0.0
2,2,2,skipconcat,64,0.01,199,0.0872,0.0035,112971.0,0.063,0.015,1.0,0.0
2,2,2,skipsum,64,0.01,199,0.0857,0.0018,108875.0,0.0653,0.0176,1.0,0.0
2,2,2,stack,64,0.01,199,0.0844,0.0045,108875.0,0.049,0.0029,1.0,0.0
2,4,1,skipconcat,64,0.01,199,0.0483,0.0007,137613.0,0.0783,0.0139,1.0,0.0
2,4,1,skipsum,64,0.01,199,0.0412,0.0004,113037.0,0.077,0.0016,1.0,0.0
2,4,1,stack,64,0.01,199,0.0493,0.0008,113037.0,0.069,0.0093,1.0,0.0
2,4,2,skipconcat,64,0.01,199,0.1101,0.0016,141773.0,0.0617,0.0189,1.0,0.0
2,4,2,skipsum,64,0.01,199,0.0871,0.0072,117197.0,0.076,0.0199,1.0,0.0
2,4,2,stack,64,0.01,199,0.1487,0.0734,117197.0,0.0687,0.0186,0.9833,0.0236
2,6,1,skipconcat,64,0.01,199,0.048,0.0013,182799.0,0.0772,0.0278,1.0,0.0
2,6,1,skipsum,64,0.01,199,0.042,0.0001,121359.0,0.0692,0.0209,1.0,0.0
2,6,1,stack,64,0.01,199,0.0559,0.001,121359.0,0.0307,0.0034,1.0,0.0
2,6,2,skipconcat,64,0.01,199,0.0979,0.0076,186959.0,0.03,0.0033,1.0,0.0
2,6,2,skipsum,64,0.01,199,0.106,0.0152,125519.0,0.036,0.0022,1.0,0.0
2,6,2,stack,64,0.01,199,0.2811,0.1492,125519.0,0.0317,0.0033,0.9357,0.0909
