l_pre,l_mp,l_post,stage,dim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std
1,2,1,skipconcat,64,0.01,5,1.0297,0.5009,104650.0,0.0453,0.0186,0.9976,0.0033
1,2,1,skipsum,64,0.01,25,0.4627,0.0437,100554.0,0.0402,0.0074,1.0,0.0
1,2,1,stack,64,0.01,6,1.2475,0.2265,100554.0,0.0593,0.0166,0.9953,0.0033
1,2,2,skipconcat,64,0.01,41,1.108,0.4946,108810.0,0.0553,0.0102,0.9952,0.0067
1,2,2,skipsum,64,0.01,35,0.2803,0.1639,104714.0,0.0631,0.0155,1.0,0.0
1,2,2,stack,64,0.01,25,1.0401,0.2205,104714.0,0.073,0.0143,1.0,0.0
1,4,1,skipconcat,64,0.01,12,0.8702,0.5702,133452.0,0.0661,0.0086,0.9929,0.0101
1,4,1,skipsum,64,0.01,43,0.4702,0.4983,108876.0,0.062,0.02,1.0,0.0
1,4,1,stack,64,0.01,7,1.2372,0.1449,108876.0,0.0617,0.017,0.9857,0.0101
1,4,2,skipconcat,64,0.01,9,1.0682,0.4386,137612.0,0.0617,0.0182,0.9976,0.0033
1,4,2,skipsum,64,0.01,22,1.0239,0.2591,113036.0,0.0633,0.0108,1.0,0.0
1,4,2,stack,64,0.01,13,1.4113,0.0794,113036.0,0.065,0.0121,0.981,0.0121
1,6,1,skipconcat,64,0.01,4,1.406,0.1217,178638.0,0.077,0.0024,0.981,0.0121
1,6,1,skipsum,64,0.01,15,0.7842,0.5736,117198.0,0.0747,0.0026,1.0,0.0
1,6,1,stack,64,0.01,13,1.0784,0.0656,117198.0,0.093,0.0016,0.9953,0.0033
1,6,2,skipconcat,64,0.01,12,0.5043,0.5754,182798.0,0.071,0.0252,1.0,0.0
1,6,2,skipsum,64,0.01,16,1.0517,0.338,121358.0,0.1127,0.0186,1.0,0.0
1,6,2,stack,64,0.01,11,0.6802,0.6026,121358.0,0.0617,0.0227,0.9619,0.0489
2,2,1,skipconcat,64,0.01,11,1.3082,0.1491,108811.0,0.0677,0.0109,0.9929,0.0101
2,2,1,skipsum,64,0.01,28,0.5914,0.5009,104715.0,0.0743,0.0047,1.0,0.0
2,2,1,stack,64,0.01,10,1.2396,0.0612,104715.0,0.0669,0.0049,1.0,0.0
2,2,2,skipconcat,64,0.01,13,1.3452,0.076,112971.0,0.0663,0.0077,0.9976,0.0033
2,2,2,skipsum,64,0.01,74,0.6401,0.5852,108875.0,0.0713,0.0021,1.0,0.0
2,2,2,stack,64,0.01,61,1.1131,0.6207,108875.0,0.0495,0.0082,0.9833,0.0236
2,4,1,skipconcat,64,0.01,6,1.358,0.0405,137613.0,0.0627,0.0147,0.9976,0.0033
2,4,1,skipsum,64,0.01,30,0.2335,0.1023,113037.0,0.0697,0.0063,1.0,0.0
2,4,1,stack,64,0.01,20,1.1213,0.1886,113037.0,0.0757,0.0104,0.9881,0.0122
2,4,2,skipconcat,64,0.01,71,0.2623,0.1262,141773.0,0.0747,0.0102,1.0,0.0
2,4,2,skipsum,64,0.01,56,0.5825,0.2973,117197.0,0.076,0.0145,1.0,0.0
2,4,2,stack,64,0.01,21,0.7641,0.4376,117197.0,0.089,0.0102,1.0,0.0
2,6,1,skipconcat,64,0.01,10,1.2372,0.0439,182799.0,0.0893,0.0178,0.9953,0.0033
2,6,1,skipsum,64,0.01,10,0.7873,0.3707,121359.0,0.0837,0.0116,1.0,0.0
2,6,1,stack,64,0.01,33,0.4266,0.1953,121359.0,0.0343,0.0019,0.9286,0.0909
2,6,2,skipconcat,64,0.01,69,0.2315,0.0164,186959.0,0.0335,0.0025,0.9953,0.0033
2,6,2,skipsum,64,0.01,32,1.0639,0.265,125519.0,0.0407,0.0059,1.0,0.0
2,6,2,stack,64,0.01,32,0.8219,0.3598,125519.0,0.0407,0.0096,0.8452,0.1837
