l_pre,l_mp,l_post,stage,dim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std
1,2,1,skipconcat,64,0.01,7,1.2925,0.0091,104650.0,0.0477,0.0199,1.0,0.0
1,2,1,skipsum,64,0.01,5,1.3824,0.0086,100554.0,0.0557,0.025,1.0,0.0
1,2,1,stack,64,0.01,10,1.1762,0.0074,100554.0,0.062,0.0144,1.0,0.0
1,2,2,skipconcat,64,0.01,8,1.4539,0.0104,108810.0,0.056,0.0078,1.0,0.0
1,2,2,skipsum,64,0.01,6,1.5107,0.0154,104714.0,0.0627,0.0012,1.0,0.0
1,2,2,stack,64,0.01,11,1.3348,0.0129,104714.0,0.0697,0.0054,1.0,0.0
1,4,1,skipconcat,64,0.01,14,0.9256,0.0288,133452.0,0.0647,0.0099,1.0,0.0
1,4,1,skipsum,64,0.01,6,1.3135,0.0155,108876.0,0.067,0.011,1.0,0.0
1,4,1,stack,64,0.01,14,1.0592,0.0344,108876.0,0.0583,0.0054,1.0,0.0
1,4,2,skipconcat,64,0.01,12,1.3122,0.0048,137612.0,0.073,0.0099,1.0,0.0
1,4,2,skipsum,64,0.01,6,1.5458,0.0077,113036.0,0.0637,0.0164,1.0,0.0
1,4,2,stack,64,0.01,16,1.2194,0.0055,113036.0,0.067,0.011,1.0,0.0
1,6,1,skipconcat,64,0.01,10,1.1271,0.0051,178638.0,0.0883,0.0062,1.0,0.0
1,6,1,skipsum,64,0.01,4,1.4578,0.0096,117198.0,0.0887,0.009,1.0,0.0
1,6,1,stack,64,0.01,22,0.7923,0.0347,117198.0,0.0943,0.0127,1.0,0.0
1,6,2,skipconcat,64,0.01,16,1.1804,0.0203,182798.0,0.102,0.0208,1.0,0.0
1,6,2,skipsum,64,0.01,6,1.5756,0.0243,121358.0,0.071,0.0174,1.0,0.0
1,6,2,stack,64,0.01,20,1.1673,0.0127,121358.0,0.084,0.005,1.0,0.0
2,2,1,skipconcat,64,0.01,10,1.1891,0.0113,108811.0,0.062,0.0135,1.0,0.0
2,2,1,skipsum,64,0.01,5,1.4102,0.0121,104715.0,0.0613,0.0156,1.0,0.0
2,2,1,stack,64,0.01,10,1.2,0.0064,104715.0,0.0643,0.0042,1.0,0.0
2,2,2,skipconcat,64,0.01,9,1.4351,0.0255,112971.0,0.08,0.0142,1.0,0.0
2,2,2,skipsum,64,0.01,6,1.5466,0.0153,108875.0,0.072,0.0131,1.0,0.0
2,2,2,stack,64,0.01,13,1.29,0.0137,108875.0,0.0483,0.0068,1.0,0.0
2,4,1,skipconcat,64,0.01,10,1.1863,0.0075,137613.0,0.07,0.0142,1.0,0.0
2,4,1,skipsum,64,0.01,6,1.3647,0.0154,113037.0,0.0637,0.0147,1.0,0.0
2,4,1,stack,64,0.01,20,0.8287,0.0238,113037.0,0.0647,0.0113,1.0,0.0
2,4,2,skipconcat,64,0.01,12,1.3631,0.0096,141773.0,0.084,0.019,1.0,0.0
2,4,2,skipsum,64,0.01,9,1.4552,0.015,117197.0,0.0793,0.0102,1.0,0.0
2,4,2,stack,64,0.01,25,0.9398,0.0219,117197.0,0.0757,0.0176,1.0,0.0
2,6,1,skipconcat,64,0.01,13,1.0429,0.0102,182799.0,0.0843,0.0102,1.0,0.0
2,6,1,skipsum,64,0.01,8,1.2575,0.0046,121359.0,0.0757,0.0152,1.0,0.0
2,6,1,stack,64,0.01,34,0.551,0.0334,121359.0,0.0343,0.0012,1.0,0.0
2,6,2,skipconcat,64,0.01,17,1.1588,0.0257,186959.0,0.0327,0.0005,1.0,0.0
2,6,2,skipsum,64,0.01,9,1.5128,0.0115,125519.0,0.039,0.0094,1.0,0.0
2,6,2,stack,64,0.01,172,0.2851,0.1519,125519.0,0.037,0.0014,0.9524,0.0674
